Name,Category,Sub-Category,Data Collection step,Id
Happy Humble Hermit,Manosphere,MGTOW,3,Ucd4xRbTbKS3CI8I17YjTBNQ
Sunrise Hoodie,Manosphere,MGTOW,3,UCjVhxbG6CPGw3YP-BpaOIqA
RF SQUARE,Manosphere,MGTOW,3,UcauYZm2lm1MufqCN9zIrXyA
CoachGregAdams,Manosphere,MGTOW,3,UclLNqr9kTEehlf7jSiSLJVg
TheMABExperience,Manosphere,MGTOW,3,UCyLHoOMy2mcIq7v5BFnNQww
The Ukrainian Lens,Manosphere,MGTOW,3,UC0qSkLTzo-40rA-WvzjTHDg
The33Secrets,Manosphere,MGTOW,3,UCjwD__1zcIfzVL6l2I5uBdg
Alpha Male Strategies,Manosphere,MGTOW,3,UC0it1cu-mt_IcvLTQ4CWcHw
Hammer Hand,Manosphere,MGTOW,3,UCtCAKno3zALipFdpdY1ZLjA
Mountain MGTOW,Manosphere,MGTOW,3,UCoZ_kgm4fIOm3n3EgDbEncw
Liberation Y,Manosphere,MGTOW,3,UCrBFmNZB-Pwk1n0Bk_Ivwbw
EntrepreneursInCars,Manosphere,MGTOW,3,UCuKqtwPO5ci5_KoZGbfl33g
RPOS,Manosphere,MGTOW,4,UCHwIeue1WcJzfS2dvCVuiWA
MonsterManTV,Manosphere,MGTOW,4,UCF1F7bQ_7-C8_JMDiIKE6LQ
lastsecshot,Manosphere,MGTOW,4,UCM96pu5VCp13f7P8Ar7qUjg
Jaye de Black,Manosphere,MGTOW,4,UCXmSzYyPQ6CuCzwitLclnjg
LFA,Manosphere,MGTOW,4,UCkS25_BA441NQMkbJG_k9Kg
Elisha Long,Manosphere,MGTOW,4,UCvF7Ll_WOgQWOw0KZJsVNXQ
Mindful Attraction,Manosphere,MGTOW,4,UCBmkZCMwh-OqGB5eU2W3QXg
DoubleYourDatingDD,Manosphere,PUA,1,UC7XM4gIpmyH1XNTDEVbSS9w
HayleyQuinnXx,Manosphere,PUA,1,UCyA6r3k8zMF2axgxVz-qTMA
Roosh V,Manosphere,PUA,1,UC16j6EppP0K85CzYMduNCqw
GoodLookingLoser69,Manosphere,PUA,1,UCFH8kR8gq7nn9GqSpgwu1kQ
Tariq Radio,Manosphere,PUA,1,UCjH72OaQxPoKgtv56C-4NOA
naughtynomadtv,Manosphere,PUA,1,UCqdICzheBUg6W7DyOYQamJA
rsdfreetour,Manosphere,PUA,1,UCTF6CEoSHHGTuJwk_zppupw
Julien free tour,Manosphere,PUA,1,UC66gDMMJsOmFsRaneAlfSGg
RSD Julien,Manosphere,PUA,1,UCTyvDKLQnpIivQzX9qa5sWA
RSD Tyler,Manosphere,PUA,1,UCD4xqm6vJ3K4ntppsE1jL4g
The Natural Lifestyle,Manosphere,PUA,1,UCk9SqfJYu5HP5e2dfClpr0g
Sasha Daygame,Manosphere,PUA,1,UClae1uxKkw28rfX20Jm9Qyg
21 Studios,Manosphere,PUA,1,UCuErSr7xeR763BzTJL7yJ7A
Michael Valmont,Manosphere,PUA,1,UCD-cyDCJUs80NGUCYTCVPDA
Richard LaRuina,Manosphere,PUA,1,UCsMzMM6gDS8ZiDIPmatGngg
Venusian Arts,Manosphere,PUA,1,UC258xnugPLjXRPO34QACiBw
Kezia Noble,Manosphere,PUA,1,UC_fiSXsgDVMLDmExLohAYIA
Coach Corey Wayne,Manosphere,PUA,1,UCQTAVxA4dNBCoPdHhX9nnoQ
willy beck,Manosphere,PUA,1,UCQ69s6pIPwV5tioRAGrG0Tw
Johnnyberba,Manosphere,PUA,1,UCSfAjvVM5cqn7DCng0OR-pQ
Evolution Daily,Manosphere,PUA,2,UCp_3ZnE5OjPbQCO_LbhObGA
LetsGetGirls,Manosphere,PUA,2,UC8X33POhYcIN-JwOaxEz2Lw
Austen Summers,Manosphere,PUA,2,UCaQs5uEGmuNoj8GGVhnB3kA
Dave Perrotta,Manosphere,PUA,2,UCl7GLJo420GdYP7mYZh-yEg
The Bowl,Manosphere,PUA,2,UCAPZwfAHn51sSZiFHorTxHA
The Path of the Modern Man,Manosphere,PUA,2,UCm7cF_PSiLUhXPEVyuG25Gw
Moe Abbassi,Manosphere,PUA,2,UCey8aYvvhqRbZCruPdD5caw
Beckster Lifestyle,Manosphere,PUA,2,UCb1pUSilDPgMaf5P3E8ZRvA
TheSingleLife,Manosphere,PUA,2,UCTJuAgxiigm_gg9YDyq9y8A
Daygame.com,Manosphere,PUA,2,UCqisd7riZrTjKdU0dqpoONw
Sol Dating And Lifestyle,Manosphere,PUA,2,UCagHu20Tuj3zElwZj-w2Fqw
ASIAN ROMANCE,Manosphere,PUA,2,UCEHhJ6PAp-BEW2im0SAfK4w
JanLifestyle,Manosphere,PUA,2,UCPLa73c0_QQMZipl1HybtHg
Nick Krauser,Manosphere,PUA,2,UCiChLqJjX4d_Q6X24ryyqXA
MrBeneification,Manosphere,PUA,2,UC-Or4JV-ikWES6ZwCVN__PA
Michael The Situation,Manosphere,PUA,2,UC_T1In1fbHpXKEuW8a8-2pg
Steve Jabba,Manosphere,PUA,2,UCdHHNkBbGj4tuMo6SjEl1dg
FarFromAverage,Manosphere,PUA,2,UC6Iaz96RkYE-MOjnq5NPgqw
Badboy lifestyle,Manosphere,PUA,2,UCVQlNTd8M5vD-exIpikpvog
Social Daygame Infield,Manosphere,PUA,2,UC4QWILrhh8gQe99Kmdoba4Q
SucceedAtDating,Manosphere,PUA,2,UCTvejcHP9cK5XqCIPZvdAbg
SquattinCassanova,Manosphere,PUA,2,UCNfKp9eXtcCM1-Nz0mTCGTw
Daniel Blake,Manosphere,PUA,2,UC2qovl2JjYyMI_cqznjSGWg
Daygame Australia,Manosphere,PUA,2,UCfGxf1tdjIdtpFY2IjggDNw
Beastmode Magazine,Manosphere,PUA,2,UCmDv0nPpc_lum517VF1e8VA
Brian Black,Manosphere,PUA,2,UC4py_gZiZJoyThV0Xwxhzug
The Single Life,Manosphere,PUA,2,UCTJuAgxiigm_gg9YDyq9y8A
Dating Architect,Manosphere,PUA,2,UC52xQhSiQh5zOTJoooIMOsg
MysteryPickUpArtist0,Manosphere,PUA,2,UC0G7RJSfUaWa2Zfw_0Jyoug
Loveme.com,Manosphere,PUA,2,UCjCqhc2OU63ygl53UA-iyHQ
PickUpArtistPUA,Manosphere,PUA,2,ZsSk7G8z2G12KgTjKgZw
John Cooper - Art of Social,Manosphere,PUA,2,UCUVCYTauctWL_VgysXmgTaQ
The Fearless Man,Manosphere,PUA,2,UCjyn_K6PpnAUh1KKyYAHsBA
Victor M Paz Jr,Manosphere,PUA,2,UCOTpnM9yWpZkSp6ZX27QwjQ
How to approach her,Manosphere,PUA,2,UCkwcu77254CvudmXRfcTaDg
Lifestyle mastery,Manosphere,PUA,2,UCM4bEcJjqR7WlrRIfBIkBdQ
Satory,Manosphere,PUA,2,UCMBL8vkod4OKHgW_QqvfXwA
Coach Kay,Manosphere,PUA,2,UC8_LUYv0d5OSl1V94LH-y3Q
James Tusk,Manosphere,PUA,2,UCxJiYMtouGpvAdeZyZoHGZg
tomtorerotv,Manosphere,PUA,2,UC-FIowkUpK-L9sfZRCef_iw
Johnny Cassel,Manosphere,PUA,2,UC0-Uk0ex4khy7c-nYy6Ex-Q
RSD Jeffy,Manosphere,PUA,3,UC_1N_NAJv18XOndxdixfW6g
RSD Ozzie,Manosphere,PUA,3,UCJjOsobrGr72uABRLPDyaJQ
AskToddV,Manosphere,PUA,3,UCvmKbukYpA8SagnjSHt_NfQ
RSD Motivation,Manosphere,PUA,3,UCFhYciYV6oyqrOfoZoyoYCg
Nick Kho,Manosphere,PUA,3,UCu5vCs-tKoYzPBxnVF8FYGQ
RSD Max,Manosphere,PUA,3,UCmIq20BSpfq7Y5qS-dQudog
Julien Himself,Manosphere,PUA,3,UCaN4Pe5JEsWzAByY2WfxxjQ
LiamMcRaeRants,Manosphere,PUA,3,UCr4noD5_Hxn6X_qdaQHA6Kw
The Sasha Daygame Podcast,Manosphere,PUA,3,UCgt1Qx_QBSzF9SLMLY2UnNA
Sasha Second,Manosphere,PUA,3,UCKCWzpfMtsofk8bm80WzwmA
Rian Stone,Manosphere,PUA,3,UC4ayoBG3GC0TtiOVX9y2_IQ
The Red Man Group,Manosphere,PUA,3,UCY0fILilUr601SPy-wc0XUQ
George Bruno,Manosphere,PUA,3,UCghz8w8iOn3PDpYi9QuC3bQ
Texas Dom,Manosphere,PUA,3,UC0pud8uplkWWp8SYXjS828g
4 Week Natural,Manosphere,PUA,3,UCPcIrG2d96HDzRqCE93K2Eg
TaySocial,Manosphere,PUA,3,UClKa8mrHgQfeeh5EIDqRfAQ
Honest Signalz,Manosphere,PUA,3,UC6BLvNM83VFg0Vgh_aCfOGw
Street Attraction,Manosphere,PUA,3,UCc33T6QinM7wdXBx8eKpikA
Based Zeus,Manosphere,PUA,3,UC1PkRYud11ogYDqgdqd23Zw
Tripp Advice,Manosphere,PUA,3,UCjTMOi3cpslA7JUmPdfD6MQ
Todd V Dating,Manosphere,PUA,3,UCo9XJennsRNhyPbXCq6e8aw
Marni Your Personal Wing Girl,Manosphere,PUA,3,UCCgrWW6fsUVdRD7xI52xhnQ
Kate Spring,Manosphere,PUA,3,UCNpBDi0eHdQ7-vBr_tZ2ksw
Dan Bacon,Manosphere,PUA,3,UCpjFHKuH-BQELT8lj85vmRw
Ollie Pearce,Manosphere,PUA,3,UCwWkbMqbsawHFyfeGEHb8mA
TheJoshSpeaks1,Manosphere,PUA,3,UCwX9Rh2T0LiDPqJNvLGpGlg
ABCs of Attraction,Manosphere,PUA,3,UCEjjHEa3xG6W91ZL7_jSYCw
naturally bubbly,Manosphere,PUA,3,UCNttYr07FLI6jzz_VUMeF6w
KamaTV,Manosphere,PUA,3,UC2onM4kU0ChVbwlYMemRJEg
MantelligenceDating,Manosphere,PUA,3,UCfMX1py0agQyBcOKjt2VSzA
Appolonia Ponti,Manosphere,PUA,3,UCYqdbnuvx-jJZByotoNW-5Q
Ryan Black,Manosphere,PUA,3,UC1GvdBQyTeP8eCbcqdRWiZA
Elliot Hulse,Manosphere,PUA,3,UCLrI-dOLyDbRnPyUeWadsOg
Bradicus,Manosphere,PUA,3,UCNt2iZyQIgkaW0Bcwhw8PLQ
Viking Lifestyle,Manosphere,PUA,3,UCRn-wnGsb6DaXdi9U-afAsA
David Bond,Manosphere,PUA,3,UCyKApv3PvaslEzHR9rwK4_w
AlphaMconsulting,Manosphere,PUA,3,UC1KbedtKa3d5dleFR6OjQMg
How to Beast,Manosphere,PUA,3,UCtQEjfEFzba37ozoXK40r3w
Matt Eastwood,Manosphere,PUA,3,UCE34NceQJKjipx5CRG8Qi1Q
Motivation Specialist,Manosphere,PUA,3,UCzpGSici-H8VtnhCPp_b3Yg
Anthony Hustle,Manosphere,PUA,3,UCGcZSPnN83GbcqzIJauoogA
Social Prime,Manosphere,PUA,4,UC-gs1e4-V16TM5mgo5d_xuw
Sam Overton,Manosphere,PUA,4,UCB6Axmo3AK495fsvuDcLkjg
RSD Luke,Manosphere,PUA,4,UC2XMvfBq5w2P4_ZYOsMlxVg
MontrealRSDCrew,Manosphere,PUA,4,UCts47p-nMPfpG4zZPB3ZfKA
aanghel,Manosphere,PUA,4,UC9459CRFjiCq52yKuiraD4w
Jack Manley TV,Manosphere,PUA,4,UCWYzs-Mi7SM_n1EgvzIOn3w
SimpleSexyStupid,Manosphere,PUA,4,UCJgVPwzPxklQr6WHwJLPlew
Wade Alters,Manosphere,PUA,4,UCxObD2ivFPpq9Akna40s7Fw
Kings Remedies,Manosphere,PUA,4,UCm6hublvFdiwTgq96q9PM5Q
AWxInc,Manosphere,PUA,4,UCaaApS4TMI3KueyAkIQv1XQ
COCO Chanou,Manosphere,PUA,4,UCdGAMy3KL1lCaaH7_JMvUeg
The Charisma Matrix,Manosphere,PUA,4,UCs14Smim-bliHN4GBEom-Vg
BradBrowningExFactor,Manosphere,PUA,4,UChCFbthWQF4MKA-43SCDB9g
MantelligenceStyle,Manosphere,PUA,4,UCBrKVgNgwYrPuqcxzJCbPHg
Love Advice TV,Manosphere,PUA,4,UClOZ-fMMvom8p2GWZ_ihpfw
Jack Denmo,Manosphere,PUA,4,UCXlnUMmbfvVBmc5NqzlbFVw
FashionGameTV,Manosphere,PUA,4,UCwwP0UPUoTPHg2nWe4qERbA
JoshTryhane,Manosphere,PUA,4,UCPsp098EE90Gyqgvo0Eazeg
LightsCameraNegeen,Manosphere,PUA,4,UCQFmSsxwJwOALJZp3GYf7Cg
Andrew Foraday,Manosphere,PUA,4,UCsspQFcCZ14d5DPMfVbPuuw
Connor Murphy,Manosphere,PUA,4,UCwNPPl_oX8oUtKVMLxL13jg
Tanner Guzy,Manosphere,PUA,4,UCHfnqyD8fb_rzkRmZSo0Wng
AlphaMaleSociety,Manosphere,PUA,4,UCSuIAAH09DiO10JXWdsCQEw
BrendioEEE,Manosphere,Incel,1,UCZjz2s4DyU6TrGzXJQ_VBRw
Kyle H.,Manosphere,Incel,1,UCTWyeeDyUn1GCEzb6XZG7MQ
FACEandLMS,Manosphere,Incel,1,UC41VQF08gjJGz5tYyp5ezfw
William Lupinacci,Manosphere,Incel,1,UCYQ2gQbvIwIM90N13dnkvwg
Virgin Messiah,Manosphere,Incel,1,UCZ5VQ34f6yxjlkLaq8lbgvA
Downhill D Mille,Manosphere,Incel,1,UC3VGE_oMmD3qzI9yEco0I1w
Hell by the Dashboard Light,Manosphere,Incel,1,UCpsuUgmFvHpDXs96pgdrq6g
HeedAndSucceed,Manosphere,Incel,1,UCpk7Ru_tqTSEiKJzlmFxLgw
Rejected-From-Eve .Zero,Manosphere,Incel,1,UCGERZ-3ZyAJqevZtw9PCatQ
TFL at was,Manosphere,Incel,1,UCQgiVTdHRr7NI4xIdJui5Wg
BigBOSSCalvin83,Manosphere,Incel,1,UCO01qpeL29tfw4RTwTZv-sw
Mainlander,Manosphere,Incel,1,UCG5aDTHFulVQViF9E-FTzNw
Samuel Maxwell,Manosphere,Incel,1,UC1uqC_EGj8qge9msaf699YQ
SteveDougson,Manosphere,Incel,1,UCVaWf4IhCjjMHGVeTvXcS1g
Off Grid Prosperity,Manosphere,Incel,1,UCUcpr6naAk-kCA1L8OOM5Nw
Just James,Manosphere,Incel,1,UCOYhgosLesFDd_hUpWGf1iA
Blue Skies Media,Manosphere,Incel,1,UCpFKlATawMhKF5xehVOZLLA
Monday FA Monday,Manosphere,Incel,1,UCTqKAe_hNq-kFp1ss6Lga6g
You wouldn't like me when I get gutta,Manosphere,Incel,1,UCxcVvBUylGdjCS4jz5PVSag
KingOfTFL,Manosphere,Incel,1,UCoExCKBtf2ZsF-nrZqcXQyQ
Link,Manosphere,Incel,1,UCVk0E-MUK5ukPbDfP2QcFYg
Oreoman,Manosphere,Incel,1,UCCo7CvP9sYIWK0B2ihuW2dw
BlackpillMafia,Manosphere,Incel,2,UCd14vyyg49J_ISVHSWEMjsQ
Vav,Manosphere,Incel,2,UCdKUh2i6PBILzqD3rPiS8nw
First Last,Manosphere,Incel,2,UCn1fwrq_QO0WkzBjdIM-8uQ
Coach Black Pill,Manosphere,Incel,2,UC5m-1lIBZeSSSDDSbl9sNFw
Top Dollar Black Pill Gangster,Manosphere,Incel,2,UCcYXfb3ftov8m-dwcDpO00g
Facehacking: The Science of Attraction,Manosphere,Incel,2,UCa3DmNrFcBTQbtNPkF0iprA
Incel TV,Manosphere,Incel,2,UCV3oX6B8Uq8VMh_L5zStVfg
TheLanbla,Manosphere,Incel,2,UCa-QpckLkgzFzG00Tqjsbnw
Incel Uprising,Manosphere,Incel,2,UCnL31BzrmNz8MHwrCLhnjIw
Kenneth The Golden Child,Manosphere,Incel,2,UCDBRuSWtxU8cQeZ-iVd_gvw
DontPanicTheRapper,Manosphere,Incel,2,UCOaH9Cetw1_eAyUxpl6aqwQ
Blue Skies Media,Manosphere,Incel,2,UCpFKlATawMhKF5xehVOZLLA
Blackpill Bishop,Manosphere,Incel,2,UCXHKuD1uuh-jsoh6CmF6rww
Eggy Noggy,Manosphere,Incel,2,UCZ9GGHg7ERYgH_pIduMjgdA
TheALPHACHECK100,Manosphere,Incel,2,UC7gAnULJ4WuqXTsIBwAnIBw
Black Pill Presentations,Manosphere,Incel,2,UCqgRXahIvfmPqzOVfIsXu6g
TheUnreal1,Manosphere,Incel,2,UCDp4wd-htp51Ir5aByUN15w
Christopher Anderson,Manosphere,Incel,2,UClQkOIf9OfMCQ4CjlSSPvbQ
NullCyber,Manosphere,Incel,2,UCdNyLKP5CW9dPQka8SwXHUA
THE Forbidden Thinker,Manosphere,Incel,2,UCCdhGyttg_U1mIdb3WELe_Q
RICEPILL,Manosphere,Incel,2,UCocq2LGS2ApHcu3O0PJa2eA
GynoPrince,Manosphere,Incel,2,UC7JWVo-MDRhNBiU7Dp8j6kg
Incel TV,Manosphere,Incel,2,UCV3oX6B8Uq8VMh_L5zStVfg
The Incel Experience,Manosphere,Incel,2,UCHU64hE5gBhdJk4iqGejHIw
Stop Being Confused About Health,Manosphere,Incel,2,UCPz82RASOzerCU1MrYm0SSQ
Looksmax,Manosphere,Incel,2,UCeVo455xDqrLsq7vt7NLQ-g
AsHBoY,Manosphere,Incel,2,UCpDAdprUWs21wyWwbv_Z4pw
Looks Theory,Manosphere,Incel,2,UCGlLEGoGE1ZUAMQcUFNa8QQ
Astro Sky,Manosphere,Incel,2,UCyy_kETc7LrFPjwgVod1_Mw
Facehacking: The Science of Attraction,Manosphere,Incel,2,UCa3DmNrFcBTQbtNPkF0iprA
Jack Peterson,Manosphere,Incel,2,UCoi355TFIZ3nc2ODfE8WGoA
Never Give Up,Manosphere,Incel,3,UCh-yZehWlvPds-NewsXpzwg
Orthotropics,Manosphere,Incel,3,UC6eh59CVGAMTjxo6q9gCMZA
StudioBrule,Manosphere,MRA,1,UC7PfGhJXlJiDs4jvGGGgqsQ
carnellspeaks,Manosphere,MRA,1,UCbVCEJ93942EpPqN2AzEyBg
KristalDGarcia,Manosphere,MRA,1,UCY82s26DcOzvDgwGYXFcYtw
CoalitionForMen,Manosphere,MRA,1,UCHaKL3tBNNUBp39ZIxox0bA
FatherlessAmerica,Manosphere,MRA,1,UCAgb6xVzZ_Xo6EuE3ne86Nw
1menaregood1,Manosphere,MRA,1,UCAlVRoYjDbgLx7j6O2N8-2g
Red Pill Awareness,Manosphere,MRA,1,UCBsCsmpR2GN2O8q2J5noFMA
deanesmay,Manosphere,MRA,1,UCKkxuj6Opa-JV3_s6r2CPEQ
An Ear for Men,Manosphere,MRA,1,UCXNNG0ej_6rU9SxCZ4dyq6w
Attila Vinczer,Manosphere,MRA,1,UC89MuToZunfClmUYoS6-Sow
drwarrenfarrell,Manosphere,MRA,1,UCcdQla_9PbQb4-FKFxJN2ag
HoneyBadgerRadio,Manosphere,MRA,1,UC595wqznMGuY2mi6DKx-qnQ
Hannah Wallen,Manosphere,MRA,1,UC_7Bt0vnvdJqAwF8Ow8iT0g
girlwriteswhat,Manosphere,MRA,1,UCcmnLu5cGUGeLy744WS-fsg
Feminism Sucks,Manosphere,MRA,2,UC7sjYgQOIDFRMCzt666_dwA
50 Shades,Manosphere,MRA,2,UCa3meRxRwQrXg__x--Goxrg
Mark Postgate,Manosphere,MRA,2,UCIl-NGN7bGS4UuMc1vJTyoQ
Felfop Returns,Manosphere,MRA,2,UCXWynYLv9kfV_r7FpNTaJaA
bane666au,Manosphere,MRA,2,UClfqxOGWFlOMQWpIhbhzL2w
JerryTheother,Manosphere,MRA,2,UCuUbALqd-qaVTdAYbVyG2Aw
Cassiejaye,Manosphere,MRA,2,UCW0XocdjHAzMJmTQIboO8qw
Katy Khaos,Manosphere,MRA,2,UCzzkMOf2bEImOmu8pcXIFHA
astrokidnj,Manosphere,MRA,2,UCkFWCK3PrJXjo4Uv5_8l1cA
Diana Davison,Manosphere,MRA,2,UCVRQqUgDRBevsDGOeE1DL3A
RB_95,Manosphere,MRA,2,UC_QOZpg4t2hf0BCnWhWM27w
Whitney Dahlin,Manosphere,MRA,2,UCFmGu_0gJFKQWrbBp5N3oqw
Mike Buchanan,Manosphere,MRA,2,UCKhX1c3ow6BrzdzP3ydpeZQ
Diapers Off,Manosphere,MRA,2,UCSJt8MQ0bqoAbbFIyu8qOXA
The Glass Blind Spot,Manosphere,MRA,2,UC7kHX39cBk5goUrh3H5qAKg
Messages for Men,Manosphere,MRA,2,UC0msVj8OXmsvWMz8WofDqWg
DoctorRandomercam,Manosphere,MRA,2,UC72vWiZdUN_Y2OC2RgJ-dvA
Canadian Association for Equality,Manosphere,MRA,3,UCvlBoX4hBrM2yUglBQcYVHg
Badger Live Streams,Manosphere,MRA,3,UCcOtHMt1S9Nl4Pycp-FWd8Q
Barbarsossa Rants,Manosphere,MRA,3,UCGE8W5_PN-bZ71nrVp9Z3FA
